rincom91,age,educ,hrs1,sex,degree,satjob,impjob,agecat4
Over 25K,56.0,18,40.0,Male,Graduate,A little dissatisfied,Very important,50+
Over 25K,55.0,20,40.0,Male,Graduate,Very satisfied,Not at all important,50+
Over 25K,61.0,20,40.0,Female,Graduate,A little dissatisfied,Somewhat important,50+
Under 25K,34.0,16,51.0,Male,Bachelor,Very satisfied,Very important,30-39
Over 25K,48.0,16,65.0,Male,Graduate,A little dissatisfied,One of most important,40-49
Under 25K,43.0,16,42.0,Female,Bachelor,Very satisfied,Very important,40-49
Over 25K,38.0,12,40.0,Male,High school,Very satisfied,One of most important,30-39
Under 25K,31.0,12,40.0,Male,High school,Very satisfied,Very important,30-39
Over 25K,40.0,16,50.0,Male,Bachelor,Mod satisfied,Very important,40-49
Over 25K,27.0,17,60.0,Male,Bachelor,A little dissatisfied,Very important,18-29
Over 25K,52.0,16,40.0,Male,Bachelor,Mod satisfied,One of most important,50+
Over 25K,32.0,12,40.0,Female,High school,Mod satisfied,Very important,30-39
Under 25K,55.0,13,40.0,Female,High school,Very satisfied,Somewhat important,50+
Under 25K,53.0,16,40.0,Female,Bachelor,Mod satisfied,One of most important,50+
Over 25K,30.0,16,40.0,Male,Junior college,Very satisfied,Very important,30-39
Over 25K,34.0,12,40.0,Male,High school,Very satisfied,Very important,30-39
Under 25K,43.0,16,38.0,Female,Bachelor,Very satisfied,Very important,40-49
Under 25K,37.0,19,46.0,Male,Graduate,A little dissatisfied,One of most important,30-39
Under 25K,42.0,12,40.0,Female,High school,Very satisfied,Very important,40-49
Over 25K,66.0,20,50.0,Male,Graduate,Very satisfied,Very important,50+
Over 25K,57.0,14,40.0,Female,Junior college,Very satisfied,Very important,50+
Under 25K,57.0,18,40.0,Female,Graduate,Very satisfied,One of most important,50+
Over 25K,36.0,17,40.0,Male,Bachelor,Very satisfied,Very important,30-39
Over 25K,39.0,17,60.0,Male,Bachelor,Very satisfied,Very important,30-39
Over 25K,49.0,14,40.0,Female,High school,Very satisfied,One of most important,40-49
Under 25K,51.0,13,40.0,Female,High school,Mod satisfied,Very important,50+
Over 25K,53.0,18,50.0,Male,Graduate,Very satisfied,One of most important,50+
Under 25K,41.0,13,40.0,Female,High school,Mod satisfied,Somewhat important,40-49
Under 25K,38.0,11,32.0,Male,Less than HS,Very dissatisfied,One of most important,30-39
Under 25K,59.0,12,40.0,Female,High school,Mod satisfied,One of most important,50+
Over 25K,33.0,14,40.0,Female,High school,Very dissatisfied,Very important,30-39
Over 25K,50.0,12,40.0,Male,High school,Very satisfied,One of most important,50+
Over 25K,51.0,14,40.0,Female,High school,Mod satisfied,Somewhat important,50+
Over 25K,60.0,12,40.0,Female,High school,Mod satisfied,Very important,50+
Over 25K,41.0,17,52.0,Female,Bachelor,Mod satisfied,One of most important,40-49
Over 25K,57.0,12,40.0,Male,High school,Very satisfied,One of most important,50+
Over 25K,47.0,12,55.0,Female,High school,Mod satisfied,Very important,40-49
Under 25K,35.0,19,60.0,Male,Graduate,Very satisfied,Very important,30-39
Over 25K,37.0,14,48.0,Male,Junior college,Very satisfied,Somewhat important,30-39
Over 25K,27.0,14,60.0,Female,High school,Very satisfied,Very important,18-29
Over 25K,27.0,16,40.0,Female,Bachelor,Mod satisfied,Very important,18-29
Over 25K,50.0,14,65.0,Male,Junior college,Mod satisfied,One of most important,50+
Over 25K,28.0,16,40.0,Male,Bachelor,Very dissatisfied,Very important,18-29
Under 25K,31.0,16,40.0,Male,Bachelor,Very dissatisfied,One of most important,30-39
Over 25K,51.0,12,46.0,Male,High school,Very satisfied,Very important,50+
Under 25K,41.0,11,40.0,Male,Less than HS,Mod satisfied,One of most important,40-49
Under 25K,26.0,15,40.0,Male,High school,Mod satisfied,One of most important,18-29
Over 25K,43.0,16,40.0,Male,Bachelor,Mod satisfied,One of most important,40-49
Over 25K,44.0,16,40.0,Male,Bachelor,Very satisfied,Very important,40-49
Over 25K,39.0,15,50.0,Male,High school,Very satisfied,Somewhat important,30-39
Over 25K,54.0,16,40.0,Female,Bachelor,Very satisfied,Very important,50+
Over 25K,47.0,14,40.0,Female,High school,Very satisfied,Very important,40-49
Under 25K,37.0,12,40.0,Female,High school,Mod satisfied,One of most important,30-39
Under 25K,52.0,9,59.0,Female,Less than HS,A little dissatisfied,Not too important,50+
Under 25K,54.0,12,40.0,Female,High school,Mod satisfied,One of most important,50+
Over 25K,24.0,12,44.0,Female,High school,Mod satisfied,Very important,18-29
Over 25K,43.0,13,45.0,Male,High school,Very satisfied,Very important,40-49
Over 25K,41.0,15,40.0,Male,High school,Mod satisfied,One of most important,40-49
Under 25K,41.0,12,40.0,Female,High school,Very satisfied,Very important,40-49
